Year,League,Name,Age,Team,G,PA,AB,R,H,2B,3B,HR,RBI,BB,SO,Hits/AB,OBP,SLG,OPS,TB
1998,NL,Dave Berg,27,FLA,81,215,182,18,57,11,0,2,21,26,46,0.313,0.393,0.407,0.8,74
1998,NL,Sean Bergman,28,HOU,30,68,60,3,5,2,0,0,4,0,30,0.083,0.083,0.117,0.2,7
1998,NL,Sean Berry,32,HOU,102,342,299,48,94,17,1,13,52,31,50,0.314,0.387,0.508,0.895,152
1998,NL,Dante Bichette,34,COL,161,695,662,97,219,48,2,22,122,28,76,0.331,0.357,0.509,0.866,337
1998,NL,Steve Bieser,30,PIT,13,13,11,2,3,1,0,0,1,2,2,0.273,0.385,0.364,0.748,4
1998,NL,Craig Biggio,32,HOU,160,738,646,123,210,51,2,20,88,64,113,0.325,0.403,0.503,0.906,325
1998,NL,Willie Blair,32,ARI,23,53,48,3,4,0,0,0,0,1,26,0.083,0.102,0.083,0.185,4
1998,NL,Willie Blair,32,NYM,11,6,4,0,1,0,0,0,0,2,1,0.25,0.5,0.25,0.75,1
1998,NL,Jeff Blauser,32,CHC,119,435,361,49,79,11,3,4,26,60,93,0.219,0.34,0.299,0.639,108
1998,NL,Brian Boehringer,29,SDP,53,8,7,0,0,0,0,0,0,1,4,0,0.125,0,0.125,0
1998,NL,Tim Bogar,31,HOU,79,169,156,12,24,4,1,1,8,9,36,0.154,0.208,0.212,0.42,33
