Year,League,Name,Age,Team,G,PA,AB,R,H,2B,3B,HR,RBI,BB,SO,Hits/AB,OBP,SLG,OPS,TB
2005,AL,Danys Baez,27,TBD,3,0,0,0,0,0,0,0,0,0,0,,,,,0
2005,AL,Adrian Beltre,26,SEA,156,650,603,69,154,36,1,19,87,38,108,0.255,0.303,0.413,0.716,249
2005,AL,Casey Blake,31,CLE,147,583,523,72,126,32,1,23,58,43,116,0.241,0.308,0.438,0.746,229
2005,AL,Aaron Boone,32,CLE,143,565,511,61,124,19,1,16,60,35,92,0.243,0.299,0.378,0.677,193
2005,AL,Bret Boone,36,SEA,74,302,273,30,63,15,3,7,34,24,52,0.231,0.299,0.385,0.684,105
2005,AL,Bret Boone,36,MIN,14,58,53,3,9,0,0,0,3,4,13,0.17,0.241,0.17,0.411,9
2005,AL,Eric Byrnes,29,OAK,59,215,192,30,51,15,2,7,24,14,27,0.266,0.336,0.474,0.81,91
2005,AL,Eric Byrnes,29,BAL,52,181,167,17,32,7,1,3,11,11,33,0.192,0.246,0.299,0.545,50
2005,AL,Frank Catalanotto,31,TOR,130,475,419,56,126,29,5,8,59,37,53,0.301,0.367,0.451,0.818,189
2005,AL,Eric Chavez,27,OAK,160,694,625,92,168,40,1,27,101,58,129,0.269,0.329,0.466,0.794,291
2005,AL,Jose Contreras,33,CHW,2,4,3,0,0,0,0,0,0,1,2,0,0.25,0,0.25,0
2005,AL,Johnny Damon,31,BOS,148,688,624,117,197,35,6,10,75,53,69,0.316,0.366,0.439,0.805,274
2005,AL,Carl Everett,34,CHW,135,547,490,58,123,17,2,23,87,42,99,0.251,0.311,0.435,0.745,213
2005,AL,Ryan Franklin,32,SEA,2,5,4,0,0,0,0,0,0,1,0,0,0.2,0,0.2,0
2005,AL,Freddy Garcia,28,CHW,3,9,7,0,0,0,0,0,0,0,1,0,0,0,0,0
2005,AL,Jason Giambi,34,NYY,139,545,417,74,113,14,0,32,87,108,109,0.271,0.44,0.535,0.975,223
